
Organizers 	 O
gunmen 	 O
shot 	 O
at 	 O
a 	 O
group 	 O
of 	 O
nine 	 O
French 	 O
nationals 	 O
who 	 O
had 	 O
stopped 	 O
along 	 O
a 	 O
road 	 O
on 	 O
Monday 	 O
. 	 O
Three 	 O
had 	 O
died 	 O
shortly 	 O
after 	 O
the 	 O
attack 	 O
. 	 O
A 	 O
Saudi 	 O
spokesman 	 O
said 	 O
the 	 O
French 	 O
nationals 	 O
were 	 O
residents 	 O
of 	 O
the 	 O
Saudi 	 COU
kingdom 	 COU
who 	 O
had 	 O
been 	 O
visiting 	 O
historic 	 O
sites 	 O
. 	 O
Saudi 	 COU
Arabia 	 COU
has 	 O
been 	 O
battling 	 O
al-Qaida 	 ORG
militants 	 O
in 	 O
the 	 O
kingdom 	 O
, 	 O
and 	 O
the 	 O
terrorist 	 O
group 	 O
has 	 O
targeted 	 O
Westerners 	 O
in 	 O
the 	 O
past 	 O
. 	 O

U.S. 	 COU
stock 	 O
markets 	 O
are 	 O
up 	 O
about 	 O
one 	 O
percent 	 O
following 	 O
Friday 	 O
's 	 O
congressional 	 O
approval 	 O
of 	 O
a 	 O
controversial 	 O
measure 	 O
to 	 O
aid 	 O
the 	 O
battered 	 O
financial 	 O
sector 	 O
. 	 O
European 	 O
markets 	 O
gained 	 O
between 	 O
two 	 O
and 	 O
three 	 O
percent 	 O
by 	 O
the 	 O
close 	 O
of 	 O
trading 	 O
. 	 O
It 	 O
was 	 O
a 	 O
different 	 O
story 	 O
in 	 O
Asia 	 O
, 	 O
where 	 O
Japan 	 COU
's 	 O
benchmark 	 O
Nikkei 	 ORG
index 	 ORG
fell 	 O
two 	 O
percent 	 O
, 	 O
and 	 O
Hong 	 COU
Kong 	 COU
's 	 O
Hang 	 ORG
Seng 	 ORG
index 	 ORG
was 	 O
down 	 O
nearly 	 O
three 	 O
percent 	 O
. 	 O

Jan 	 NAT
Mayen 	 NAT
is 	 O
a 	 O
volcanic 	 NAT
island 	 NAT
with 	 O
no 	 O
exploitable 	 O
natural 	 O
resources 	 O
, 	 O
although 	 O
surrounding 	 O
waters 	 NAT
contain 	 O
substantial 	 O
fish 	 ANI
stocks 	 O
and 	 O
potential 	 O
untapped 	 O
petroleum 	 O
resources 	 O
. 	 O
Economic 	 O
activity 	 O
is 	 O
limited 	 O
to 	 O
providing 	 O
services 	 O
for 	 O
employees 	 O
of 	 O
Norway 	 COU
's 	 O
radio 	 O
and 	 O
meteorological 	 O
stations 	 O
on 	 O
the 	 O
island 	 NAT
. 	 O

Iranian 	 O
news 	 O
media 	 O
report 	 O
that 	 O
armed 	 O
bandits 	 O
have 	 O
taken 	 O
30 	 O
people 	 O
hostage 	 O
in 	 O
the 	 O
southeast 	 O
of 	 O
the 	 O
country 	 O
. 	 O
The 	 O
reports 	 O
say 	 O
the 	 O
bandits 	 O
blocked 	 O
a 	 O
road 	 O
and 	 O
opened 	 O
fire 	 O
on 	 O
vehicles 	 O
before 	 O
abducting 	 O
the 	 O
victims 	 O
Sunday 	 O
. 	 O
The 	 O
incident 	 O
took 	 O
place 	 O
in 	 O
Sistan-Baluchestan 	 COU
. 	 O
Few 	 O
other 	 O
details 	 O
were 	 O
immediately 	 O
available 	 O
. 	 O

World 	 O
oil 	 O
prices 	 O
declined 	 O
about 	 O
two 	 O
percent 	 O
in 	 O
Tuesday 	 O
's 	 O
trading 	 O
after 	 O
Chinese 	 O
oil 	 O
imports 	 O
slowed 	 O
and 	 O
a 	 O
report 	 O
on 	 O
the 	 O
U.S. 	 COU
economy 	 O
disappointed 	 O
investors 	 O
. 	 O
In 	 O
New 	 CIT
York 	 CIT
trading 	 O
, 	 O
the 	 O
price 	 O
of 	 O
crude 	 O
oil 	 O
fell 	 O
more 	 O
than 	 O
$ 	 O
2 	 O
to 	 O
$ 	 O
79.43. 	 O
A 	 O
report 	 O
on 	 O
declining 	 O
worker 	 O
productivity 	 O
in 	 O
the 	 O
United 	 COU
States 	 COU
prompted 	 O
investors 	 O
to 	 O
expect 	 O
less 	 O
demand 	 O
for 	 O
energy 	 O
, 	 O
which 	 O
would 	 O
lower 	 O
oil 	 O
prices 	 O
. 	 O
The 	 O
United 	 COU
States 	 COU
and 	 O
China 	 COU
are 	 O
the 	 O
world 	 O
's 	 O
two 	 O
largest 	 O
oil 	 O
consumers 	 O
. 	 O

Oil 	 O
prices 	 O
continued 	 O
to 	 O
break 	 O
new 	 O
records 	 O
this 	 O
week 	 O
, 	 O
trading 	 O
briefly 	 O
above 	 O
$ 	 O
126 	 O
per 	 O
barrel 	 O
on 	 O
Monday 	 O
. 	 O
American 	 O
consumers 	 O
fear 	 O
prices 	 O
will 	 O
go 	 O
even 	 O
higher 	 O
as 	 O
the 	 O
summer 	 O
driving 	 O
season 	 O
gets 	 O
underway 	 O
. 	 O
Some 	 O
say 	 O
they 	 O
are 	 O
desperate 	 O
and 	 O
many 	 O
are 	 O
calling 	 O
on 	 O
U.S. 	 COU
lawmakers 	 O
to 	 O
do 	 O
something 	 O
- 	 O
fast 	 O
. 	 O
VOA 	 ORG
's 	 O
Mil 	 PER
Arcega 	 PER
reports 	 O
. 	 O

The 	 O
U.S. 	 O
military 	 O
in 	 O
Afghanistan 	 COU
says 	 O
a 	 O
U.S. 	 ORG
Marine 	 ORG
and 	 O
an 	 O
American 	 O
solider 	 O
were 	 O
killed 	 O
in 	 O
separate 	 O
insurgent 	 O
attacks 	 O
Monday 	 O
. 	 O
The 	 O
military 	 O
says 	 O
the 	 O
marine 	 O
was 	 O
killed 	 O
when 	 O
suspected 	 O
Taleban 	 ORG
insurgents 	 O
fired 	 O
rocket-propelled 	 O
grenades 	 O
and 	 O
mortars 	 O
at 	 O
a 	 O
U.S. 	 O
base 	 O
near 	 O
the 	 O
eastern 	 O
city 	 O
of 	 O
Asadabad 	 CIT
. 	 O
The 	 O
military 	 O
says 	 O
the 	 O
solider 	 O
was 	 O
killed 	 O
when 	 O
his 	 O
unit 	 O
came 	 O
under 	 O
similar 	 O
attack 	 O
near 	 O
the 	 O
southern 	 O
city 	 O
of 	 O
Kandahar 	 CIT
. 	 O
The 	 O
attacks 	 O
occured 	 O
just 	 O
a 	 O
week 	 O
after 	 O
Afghanistan 	 COU
held 	 O
landmark 	 O
general 	 O
elections 	 O
. 	 O
The 	 O
election 	 O
took 	 O
place 	 O
without 	 O
any 	 O
major 	 O
violence 	 O
despite 	 O
Taleban 	 ORG
threats 	 O
to 	 O
disrupt 	 O
the 	 O
vote 	 O
. 	 O
Oil 	 O
futures 	 O
are 	 O
again 	 O
breaking 	 O
records 	 O
after 	 O
surpassing 	 O
$ 	 O
110 	 O
a 	 O
barrel 	 O
on 	 O
March 	 O
13 	 O
in 	 O
New 	 CIT
York 	 CIT
. 	 O
Despite 	 O
evidence 	 O
to 	 O
suggest 	 O
that 	 O
high 	 O
fuel 	 O
prices 	 O
are 	 O
not 	 O
justified 	 O
-- 	 O
weakening 	 O
demand 	 O
and 	 O
growing 	 O
supplies 	 O
have 	 O
been 	 O
unable 	 O
to 	 O
stop 	 O
skyrocketing 	 O
prices 	 O
. 	 O
With 	 O
gasoline 	 O
prices 	 O
expected 	 O
to 	 O
rise 	 O
even 	 O
more 	 O
in 	 O
the 	 O
next 	 O
few 	 O
months 	 O
, 	 O
consumers 	 O
are 	 O
starting 	 O
to 	 O
lose 	 O
patience 	 O
. 	 O
And 	 O
as 	 O
VOA 	 ORG
's 	 O
Mil 	 PER
Arcega 	 PER
reports 	 O
, 	 O
it 	 O
is 	 O
not 	 O
just 	 O
average 	 O
motorists 	 O
who 	 O
are 	 O
hurting 	 O
. 	 O

At 	 O
least 	 O
seven 	 O
Indian 	 O
police 	 O
officers 	 O
were 	 O
killed 	 O
Sunday 	 O
when 	 O
their 	 O
vehicle 	 O
struck 	 O
a 	 O
landmine 	 O
in 	 O
the 	 O
eastern 	 O
region 	 O
of 	 O
the 	 O
country 	 O
. 	 O
Officials 	 O
say 	 O
they 	 O
suspect 	 O
the 	 O
bombs 	 O
were 	 O
planted 	 O
by 	 O
Maoist 	 O
rebels 	 O
. 	 O
The 	 O
attack 	 O
was 	 O
in 	 O
Orissa 	 COU
state 	 COU
, 	 O
nearly 	 O
550 	 O
kilometers 	 O
south 	 O
of 	 O
the 	 O
state 	 O
capital 	 O
Bhubaneshwar 	 CIT
. 	 O
Indian 	 O
officials 	 O
say 	 O
the 	 O
long-running 	 O
Maoist 	 O
insurgency 	 O
, 	 O
which 	 O
has 	 O
spread 	 O
to 	 O
20 	 O
of 	 O
the 	 O
country 	 O
's 	 O
28 	 O
states 	 O
, 	 O
is 	 O
India 	 COU
's 	 O
most 	 O
serious 	 O
domestic 	 O
security 	 O
issue 	 O
. 	 O
The 	 O
rebels 	 O
, 	 O
also 	 O
called 	 O
Naxalites 	 ORG
, 	 O
are 	 O
demanding 	 O
land 	 O
and 	 O
jobs 	 O
for 	 O
the 	 O
poor 	 O
. 	 O

U.S. 	 O
military 	 O
officials 	 O
say 	 O
the 	 O
death 	 O
toll 	 O
from 	 O
Wednesday 	 O
's 	 O
helicopter 	 O
crash 	 O
in 	 O
southeastern 	 O
Afghanistan 	 COU
has 	 O
risen 	 O
to 	 O
16 	 O
, 	 O
including 	 O
at 	 O
least 	 O
four 	 O
American 	 O
crew 	 O
members 	 O
. 	 O
A 	 O
U.S. 	 O
statement 	 O
says 	 O
two 	 O
other 	 O
people 	 O
listed 	 O
on 	 O
the 	 O
flight 	 O
manifest 	 O
are 	 O
missing 	 O
. 	 O
The 	 O
Chinook 	 O
helicopter 	 O
was 	 O
returning 	 O
to 	 O
Bagram 	 CIT
air 	 O
base 	 O
from 	 O
Ghazni 	 NAT
province 	 NAT
, 	 O
southwest 	 O
of 	 O
the 	 O
capital 	 O
, 	 O
Kabul 	 CIT
, 	 O
when 	 O
it 	 O
went 	 O
down 	 O
near 	 O
Ghazni 	 CIT
city 	 CIT
. 	 O
The 	 O
U.S. 	 O
military 	 O
suggests 	 O
severe 	 O
weather 	 O
was 	 O
to 	 O
blame 	 O
for 	 O
what 	 O
is 	 O
the 	 O
deadliest 	 O
military 	 O
crash 	 O
in 	 O
Afghanistan 	 COU
since 	 O
the 	 O
start 	 O
of 	 O
U.S.- 	 O
led 	 O
operations 	 O
to 	 O
oust 	 O
the 	 O
Taleban 	 ORG
in 	 O
late 	 O
2001 	 O
. 	 O

Musician 	 PER
Ted 	 PER
Onulak 	 PER
is 	 O
passionate 	 O
about 	 O
his 	 O
music 	 O
. 	 O
His 	 O
playing 	 O
and 	 O
singing 	 O
style 	 O
are 	 O
deeply 	 O
rooted 	 O
in 	 O
the 	 O
blues 	 O
, 	 O
and 	 O
he 	 O
lists 	 O
such 	 O
jazz 	 O
greats 	 O
as 	 O
Charlie 	 PER
Parker 	 PER
and 	 O
John 	 PER
Lee 	 PER
Hooker 	 PER
as 	 O
his 	 O
musical 	 O
influences 	 O
. 	 O
But 	 O
his 	 O
current 	 O
career 	 O
only 	 O
came 	 O
about 	 O
when 	 O
fate 	 O
intervened 	 O
in 	 O
his 	 O
life 	 O
. 	 O
VOA 	 O
's 	 O
Tetiana 	 PER
Koprowicz 	 PER
recently 	 O
caught 	 O
up 	 O
with 	 O
him 	 O
and 	 O
has 	 O
more 	 O
on 	 O
how 	 O
this 	 O
former 	 O
diplomat 	 O
turned 	 O
his 	 O
loss 	 O
of 	 O
eyesight 	 O
into 	 O
inspiration 	 O
. 	 O
Jim 	 PER
Bertel 	 PER
narrates 	 O
. 	 O

U.S. 	 COU
and 	 O
Brazilian 	 COU
media 	 O
reports 	 O
say 	 O
police 	 O
have 	 O
arrested 	 O
a 	 O
key 	 O
al-Qaida 	 O
operative 	 O
in 	 O
the 	 O
Brazilian 	 COU
city 	 O
of 	 O
Sao 	 CIT
Paulo 	 CIT
. 	 O
The 	 O
arrest 	 O
was 	 O
reported 	 O
Tuesday 	 O
by 	 O
the 	 O
Associated 	 O
Press 	 O
( 	 O
AP 	 O
) 	 O
and 	 O
Brazil 	 COU
's 	 O
daily 	 O
newspaper 	 O
, 	 O
Folha 	 ENT
de 	 ENT
S. 	 ENT
Paulo 	 ENT
. 	 O
The 	 O
suspect 	 O
was 	 O
not 	 O
identified 	 O
by 	 O
name 	 O
, 	 O
nor 	 O
was 	 O
his 	 O
nationality 	 O
given 	 O
. 	 O
But 	 O
the 	 O
AP 	 O
said 	 O
a 	 O
federal 	 O
police 	 O
spokeswoman 	 O
confirmed 	 O
the 	 O
newspaper 	 O
's 	 O
report 	 O
that 	 O
the 	 O
suspect 	 O
is 	 O
a 	 O
top 	 O
player 	 O
in 	 O
al-Qaida 	 O
's 	 O
international 	 O
communications 	 O
. 	 O
She 	 O
said 	 O
the 	 O
suspect 	 O
is 	 O
being 	 O
held 	 O
under 	 O
laws 	 O
that 	 O
prohibit 	 O
the 	 O
promotion 	 O
of 	 O
racism 	 O
in 	 O
Brazil 	 COU
. 	 O

A 	 O
well-known 	 O
U.S. 	 COU
consumer 	 O
group 	 O
is 	 O
calling 	 O
for 	 O
a 	 O
ban 	 O
on 	 O
some 	 O
of 	 O
the 	 O
most 	 O
widely-used 	 O
dyes 	 O
in 	 O
food 	 O
products 	 O
sold 	 O
in 	 O
the 	 O
United 	 COU
States 	 COU
and 	 O
elsewhere 	 O
. 	 O
The 	 ORG
Center 	 ORG
for 	 ORG
Science 	 ORG
in 	 ORG
the 	 ORG
Public 	 ORG
Interest 	 ORG
says 	 O
there 	 O
is 	 O
evidence 	 O
that 	 O
these 	 O
dyes 	 O
are 	 O
harmful 	 O
for 	 O
children 	 O
. 	 O
VOA 	 ORG
's 	 O
Carol 	 PER
Pearson 	 PER
has 	 O
more 	 O
. 	 O

British 	 ORG
police 	 ORG
have 	 O
been 	 O
out 	 O
in 	 O
force 	 O
in 	 O
Edinburgh 	 CIT
, 	 O
Scotland 	 COU
, 	 O
Monday 	 O
, 	 O
where 	 O
demonstrators 	 O
have 	 O
begun 	 O
protesting 	 O
the 	 O
G-Eight 	 ORG
conference 	 O
of 	 O
industrialized 	 O
nations 	 O
that 	 O
opens 	 O
Wednesday 	 O
. 	 O
An 	 O
undetermined 	 O
number 	 O
of 	 O
arrests 	 O
were 	 O
reported 	 O
after 	 O
some 	 O
of 	 O
the 	 O
protesters 	 O
scuffled 	 O
with 	 O
police 	 ORG
. 	 O
There 	 O
were 	 O
no 	 O
reports 	 O
of 	 O
serious 	 O
violence 	 O
. 	 O
Advocates 	 O
of 	 O
several 	 O
causes 	 O
have 	 O
descended 	 O
to 	 O
promote 	 O
their 	 O
causes 	 O
, 	 O
including 	 O
representatives 	 O
from 	 O
anti-military 	 O
, 	 O
anti-nuclear 	 O
, 	 O
and 	 O
anti-globalization 	 O
groups 	 O
. 	 O

Maoist 	 O
rebels 	 O
in 	 O
Nepal 	 COU
say 	 O
they 	 O
will 	 O
stop 	 O
military 	 O
operations 	 O
during 	 O
the 	 O
country 	 O
's 	 O
most 	 O
popular 	 O
religious 	 O
festival 	 O
. 	 O
Rebel 	 O
leader 	 O
Pushpa 	 PER
Kamal 	 PER
Dahal 	 PER
, 	 O
who 	 O
is 	 O
also 	 O
known 	 O
as 	 O
Prachanda 	 PER
, 	 O
said 	 O
Friday 	 O
the 	 O
insurgents 	 O
will 	 O
halt 	 O
attacks 	 O
from 	 O
October 	 O
20 	 O
- 	 O
28 	 O
in 	 O
recognition 	 O
of 	 O
the 	 O
festival 	 O
of 	 O
Dasain 	 O
. 	 O
The 	 O
rebels 	 O
have 	 O
observed 	 O
similar 	 O
cease-fires 	 O
in 	 O
the 	 O
past 	 O
. 	 O
The 	 O
insurgency 	 O
for 	 O
a 	 O
communist 	 O
state 	 O
to 	 O
replace 	 O
Nepal 	 COU
's 	 O
constitutional 	 O
monarchy 	 O
has 	 O
killed 	 O
more 	 O
than 	 O
10,000 	 O
people 	 O
since 	 O
it 	 O
began 	 O
in 	 O
1996 	 O
. 	 O

One 	 O
of 	 O
Russia 	 COU
's 	 O
most 	 O
popular 	 O
fashion 	 O
designers 	 O
has 	 O
opened 	 O
her 	 O
first 	 O
clothing 	 O
store 	 O
in 	 O
the 	 O
U.S. 	 COU
Teenager 	 O
Kira 	 PER
Plastinina 	 PER
's 	 O
designs 	 O
are 	 O
already 	 O
a 	 O
hit 	 O
in 	 O
her 	 O
homeland 	 O
and 	 O
now 	 O
she 	 O
is 	 O
hoping 	 O
to 	 O
find 	 O
success 	 O
in 	 O
America 	 COU
's 	 O
fashion 	 O
capital 	 O
New 	 CIT
York 	 CIT
City 	 CIT
. 	 O
VOA 	 ORG
's 	 O
Elena 	 PER
Mikhailova 	 PER
introduces 	 O
us 	 O
to 	 O
the 	 O
young 	 O
lady 	 O
who 	 O
is 	 O
creating 	 O
a 	 O
stir 	 O
in 	 O
the 	 O
fashion 	 O
industry 	 O
. 	 O

Pacific 	 ORG
First 	 ORG
Financial 	 ORG
Corp. 	 ORG
said 	 O
shareholders 	 O
approved 	 O
its 	 O
acquisition 	 O
by 	 O
Royal 	 ORG
Trustco 	 ORG
Ltd. 	 ORG
of 	 ORG
Toronto 	 O
for 	 O
$ 	 O
27 	 O
a 	 O
share 	 O
, 	 O
or 	 O
$ 	 O
212 	 O
million 	 O
. 	 O
The 	 O
thrift 	 O
holding 	 O
company 	 O
said 	 O
it 	 O
expects 	 O
to 	 O
obtain 	 O
regulatory 	 O
approval 	 O
and 	 O
complete 	 O
the 	 O
transaction 	 O
by 	 O
year-end 	 O
. 	 O

Ukrainian 	 ORG
emergency 	 ORG
officials 	 ORG
say 	 O
five 	 O
people 	 O
have 	 O
been 	 O
killed 	 O
in 	 O
the 	 O
crash 	 O
of 	 O
a 	 O
small 	 O
private 	 O
passenger 	 O
plane 	 O
near 	 O
Kyiv 	 CIT
. 	 O
The 	 O
Beechcraft 	 O
turboprop 	 O
was 	 O
on 	 O
a 	 O
flight 	 O
Sunday 	 O
from 	 O
the 	 O
Czech 	 COU
Republic 	 COU
. 	 O
Witnesses 	 O
say 	 O
the 	 O
plane 	 O
crashed 	 O
and 	 O
exploded 	 O
in 	 O
a 	 O
field 	 NAT
just 	 O
short 	 O
of 	 O
the 	 O
runway 	 O
at 	 O
Zhulyany 	 O
airport 	 O
near 	 O
Kyiv 	 CIT
. 	 O
No 	 O
one 	 O
on 	 O
the 	 O
ground 	 O
was 	 O
hurt 	 O
. 	 O
All 	 O
five 	 O
victims 	 O
were 	 O
Czech 	 O
. 	 O
Investigators 	 O
say 	 O
initial 	 O
findings 	 O
point 	 O
to 	 O
human 	 O
error 	 O
as 	 O
the 	 O
cause 	 O
of 	 O
the 	 O
crash 	 O
. 	 O

Five-time 	 O
Olympic 	 O
champion 	 O
Ian 	 PER
Thorpe 	 PER
's 	 O
of 	 O
Australia 	 COU
return 	 O
to 	 O
competitive 	 O
swimming 	 SPO
after 	 O
a 	 O
15-month 	 O
break 	 O
lasted 	 O
only 	 O
one 	 O
race 	 O
at 	 O
the 	 O
World 	 O
Cup 	 O
meet 	 O
in 	 O
Sydney 	 CIT
. 	 O
The 	 O
Australian 	 O
star 	 O
withdrew 	 O
from 	 O
the 	 O
event 	 O
Saturday 	 O
due 	 O
to 	 O
illness 	 O
after 	 O
clocking 	 O
the 	 O
fastest 	 O
time 	 O
in 	 O
the 	 O
qualifying 	 O
race 	 O
for 	 O
the 	 O
men 	 O
's 	 O
100-meter 	 O
freestyle 	 O
earlier 	 O
in 	 O
the 	 O
day 	 O
( 	 O
47.87 	 O
seconds 	 O
) 	 O
. 	 O
Australia 	 COU
's 	 O
coach 	 O
, 	 O
Alan 	 PER
Thompson 	 PER
, 	 O
said 	 O
Thorpe 	 PER
had 	 O
not 	 O
been 	 O
feeling 	 O
well 	 O
all 	 O
week 	 O
, 	 O
and 	 O
had 	 O
missed 	 O
some 	 O
training 	 O
sessions 	 O
. 	 O
Thorpe 	 PER
took 	 O
an 	 O
extended 	 O
break 	 O
from 	 O
competition 	 O
following 	 O
the 	 O
2004 	 O
Athens 	 O
Olympics 	 O
. 	 O

Iraq 	 COU
's 	 O
government 	 O
says 	 O
Prime 	 O
Minister 	 O
Nouri 	 PER
al-Maliki 	 PER
will 	 O
make 	 O
his 	 O
first 	 O
official 	 O
visit 	 O
to 	 O
Iran 	 COU
on 	 O
Monday 	 O
. 	 O
Officials 	 O
say 	 O
his 	 O
two-day 	 O
visit 	 O
will 	 O
focus 	 O
on 	 O
security 	 O
issues 	 O
and 	 O
promoting 	 O
bilateral 	 O
relations 	 O
. 	 O
Earlier 	 O
this 	 O
week 	 O
, 	 O
Iraqi 	 O
Deputy 	 O
Prime 	 O
Minister 	 O
Barham 	 PER
Saleh 	 PER
led 	 O
a 	 O
delegation 	 O
of 	 O
officials 	 O
on 	 O
a 	 O
visit 	 O
to 	 O
