Argentina 	 COU
waning 	 O
months 	 O
of 	 O
World 	 O
War 	 O
II 	 O
in 	 O
war-shattered 	 O
Berlin 	 CIT
, 	 O
far 	 O
from 	 O
his 	 O
native 	 O
Ukraine 	 COU
. 	 O
After 	 O
the 	 O
war 	 O
, 	 O
he 	 O
found 	 O
himself 	 O
in 	 O
the 	 O
United 	 COU
States 	 COU
-- 	 O
a 	 O
displaced 	 O
person 	 O
, 	 O
a 	 O
refugee 	 O
, 	 O
and 	 O
an 	 O
American 	 O
soldier 	 O
. 	 O
Here 	 O
he 	 O
shares 	 O
his 	 O
memories 	 O
of 	 O
that 	 O
turbulent 	 O
time 	 O
. 	 O
The 	 O
day 	 O
the 	 O
war 	 O
ended 	 O
in 	 O
Germany 	 COU
, 	 O
Hear 	 O
Roman 	 PER
Ferencevych 	 PER
describe 	 O
life 	 O
in 	 O
a 	 O
Displaced 	 O
Persons 	 O
' 	 O
Camp 	 O
Roman 	 PER
Ferencevych 	 PER
talks 	 O
about 	 O
the 	 O
goals 	 O
of 	 O
the 	 O
Ukrainian 	 O
Community 	 O
in 	 O
the 	 O
U.S. 	 COU

Talking 	 O
about 	 O
fashion 	 O
instantly 	 O
evokes 	 O
in 	 O
many 	 O
people 	 O
images 	 O
of 	 O
models 	 O
strutting 	 O
down 	 O
the 	 O
catwalk 	 O
. 	 O
But 	 O
the 	 O
South 	 ORG
Asian 	 ORG
Student 	 ORG
Association 	 ORG
at 	 O
Carnegie 	 ORG
Mellon 	 ORG
University 	 ORG
in 	 O
Pittsburgh 	 CIT
, 	 O
Pennsylvania 	 CIT
recently 	 O
took 	 O
a 	 O
different 	 O
spin 	 O
on 	 O
fashion 	 O
during 	 O
Pakistan 	 COU
Awareness 	 O
Week 	 O
on 	 O
campus 	 O
. 	 O
VOA 	 ORG
's 	 O
Ruth 	 PER
Reader 	 PER
reports 	 O
for 	 O
producer 	 O
Imran 	 PER
Siddiqi 	 PER
. 	 O

Ukrainian 	 ORG
emergency 	 ORG
officials 	 ORG
say 	 O
five 	 O
people 	 O
have 	 O
been 	 O
killed 	 O
in 	 O
the 	 O
crash 	 O
of 	 O
a 	 O
small 	 O
private 	 O
passenger 	 O
plane 	 O
near 	 O
Kyiv 	 CIT
. 	 O
The 	 O
Beechcraft 	 O
turboprop 	 O
was 	 O
on 	 O
a 	 O
flight 	 O
Sunday 	 O
from 	 O
the 	 O
Czech 	 COU
Republic 	 COU
. 	 O
Witnesses 	 O
say 	 O
the 	 O
plane 	 O
crashed 	 O
and 	 O
exploded 	 O
in 	 O
a 	 O
field 	 NAT
just 	 O
short 	 O
of 	 O
the 	 O
runway 	 O
at 	 O
Zhulyany 	 O
airport 	 O
near 	 O
Kyiv 	 CIT
. 	 O
No 	 O
one 	 O
on 	 O
the 	 O
ground 	 O
was 	 O
hurt 	 O
. 	 O
All 	 O
five 	 O
victims 	 O
were 	 O
Czech 	 O
. 	 O
Investigators 	 O
say 	 O
initial 	 O
findings 	 O
point 	 O
to 	 O
human 	 O
error 	 O
as 	 O
the 	 O
cause 	 O
of 	 O
the 	 O
crash 	 O
. 	 O

Pakistani 	 O
officials 	 O
said 	 O
military 	 O
fighter 	 O
jets 	 O
and 	 O
helicopter 	 O
gunships 	 O
pounded 	 O
tribal 	 O
areas 	 O
in 	 O
northwestern 	 O
Pakistan 	 COU
on 	 O
Sunday 	 O
, 	 O
killing 	 O
at 	 O
least 	 O
30 	 O
insurgents 	 O
and 	 O
destroying 	 O
seven 	 O
militant 	 O
hide-outs 	 O
. 	 O
Pakistan 	 COU
launched 	 O
the 	 O
offensive 	 O
in 	 O
Orakzai 	 ORG
to 	 O
rout 	 O
Taliban 	 ORG
fighters 	 O
from 	 O
the 	 O
mountainous 	 NAT
area 	 O
near 	 O
its 	 O
border 	 O
with 	 O
Afghanistan 	 COU
. 	 O
Elsewhere 	 O
in 	 O
Pakistan 	 COU
's 	 O
tribal 	 O
region 	 O
, 	 O
suspected 	 O
militants 	 O
released 	 O
50 	 O
of 	 O
the 	 O
60 	 O
people 	 O
kidnapped 	 O
at 	 O
gunpoint 	 O
in 	 O
Kurram 	 CIT
on 	 O
Saturday 	 O
. 	 O
Local 	 O
officials 	 O
say 	 O
tribal 	 O
elders 	 O
are 	 O
helping 	 O
to 	 O
negotiate 	 O
the 	 O
release 	 O
of 	 O
the 	 O
remaining 	 O
hostages 	 O
. 	 O

Millions 	 O
of 	 O
Americans 	 O
could 	 O
lose 	 O
their 	 O
homes 	 O
this 	 O
year 	 O
and 	 O
in 	 O
2009 	 O
as 	 O
foreclosures 	 O
across 	 O
the 	 O
United 	 COU
States 	 COU
are 	 O
occurring 	 O
at 	 O
the 	 O
highest 	 O
rate 	 O
in 	 O
decades 	 O
. 	 O
At 	 O
the 	 O
beginning 	 O
of 	 O
the 	 O
year 	 O
, 	 O
the 	 O
number 	 O
of 	 O
homes 	 O
facing 	 O
foreclosure 	 O
jumped 	 O
more 	 O
than 	 O
57 	 O
percent 	 O
compared 	 O
to 	 O
a 	 O
year 	 O
ago 	 O
. 	 O
The 	 O
foreclosure 	 O
crisis 	 O
is 	 O
worsening 	 O
despite 	 O
ongoing 	 O
efforts 	 O
by 	 O
some 	 O
lenders 	 O
and 	 O
the 	 O
federal 	 ORG
government 	 ORG
to 	 O
help 	 O
borrowers 	 O
manage 	 O
the 	 O
mortgage 	 O
payments 	 O
on 	 O
their 	 O
homes 	 O
. 	 O
VOA 	 ORG
's 	 O
Chris 	 PER
Simkins 	 PER
reports 	 O
on 	 O
how 	 O
one 	 O
organization 	 O
is 	 O
helping 	 O
people 	 O
save 	 O
their 	 O
homes 	 O
. 	 O

Haiti 	 COU
hosts 	 O
a 	 O
donors 	 O
conference 	 O
Tuesday 	 O
, 	 O
hoping 	 O
to 	 O
secure 	 O
at 	 O
least 	 O
$ 	 O
5 	 O
billion 	 O
in 	 O
pledges 	 O
to 	 O
help 	 O
the 	 O
impoverished 	 O
Caribbean 	 NAT
nation 	 O
jump 	 O
start 	 O
its 	 O
economy 	 O
and 	 O
make 	 O
vital 	 O
repairs 	 O
to 	 O
infrastructure 	 O
. 	 O
Delegates 	 O
at 	 O
the 	 O
conference 	 O
will 	 O
include 	 O
representatives 	 O
from 	 O
the 	 O
United 	 COU
States 	 COU
, 	 O
European 	 ORG
Union 	 ORG
, 	 O
and 	 O
the 	 O
Inter-American 	 ORG
Development 	 ORG
Bank 	 ORG
. 	 O
Haitian 	 O
leaders 	 O
say 	 O
building 	 O
roads 	 O
, 	 O
revitalizing 	 O
agriculture 	 O
, 	 O
and 	 O
boosting 	 O
education 	 O
and 	 O
health 	 O
care 	 O
services 	 O
are 	 O
their 	 O
priority 	 O
. 	 O
Haiti 	 COU
's 	 O
economic 	 O
problems 	 O
continue 	 O
and 	 O
living 	 O
standards 	 O
remain 	 O
low 	 O
more 	 O
than 	 O
two 	 O
years 	 O
after 	 O
a 	 O
rebellion 	 O
that 	 O
overthrew 	 O
President 	 O
Jean-Bertrand 	 PER
Aristide 	 PER
. 	 O

Authorities 	 O
in 	 O
Saudi 	 COU
Arabia 	 COU
say 	 O
a 	 O
fourth 	 O
French 	 O
national 	 O
has 	 O
died 	 O
of 	 O
wounds 	 O
suffered 	 O
in 	 O
an 	 O
attack 	 O
in 	 O
northwestern 	 O
Saudi 	 COU
Arabia 	 COU
. 	 O
Officials 	 O
say 	 O
a 	 O
teenager 	 O
died 	 O
in 	 O
a 	 O
hospital 	 O
Tuesday 	 O
of 	 O
wounds 	 O
sustained 	 O
when 	 O
gunmen 	 O
shot 	 O
at 	 O
a 	 O
group 	 O
of 	 O
nine 	 O
French 	 O
nationals 	 O
who 	 O
had 	 O
stopped 	 O
along 	 O
a 	 O
road 	 O
on 	 O
Monday 	 O
. 	 O
Three 	 O
had 	 O
died 	 O
shortly 	 O
after 	 O
the 	 O
attack 	 O
. 	 O
A 	 O
Saudi 	 O
spokesman 	 O
said 	 O
the 	 O
French 	 O
nationals 	 O
were 	 O
residents 	 O
of 	 O
the 	 O
Saudi 	 COU
kingdom 	 COU
who 	 O
had 	 O
been 	 O
visiting 	 O
historic 	 O
sites 	 O
. 	 O
Saudi 	 COU
Arabia 	 COU
has 	 O
been 	 O
battling 	 O
al-Qaida 	 ORG
militants 	 O
in 	 O
the 	 O
kingdom 	 O
, 	 O
and 	 O
the 	 O
terrorist 	 O
group 	 O
has 	 O
targeted 	 O
Westerners 	 O
in 	 O
the 	 O
past 	 O
. 	 O

Russian 	 O
authorities 	 O
and 	 O
witnesses 	 O
say 	 O
a 	 O
suspected 	 O
bomb 	 O
exploded 	 O
Sunday 	 O
in 	 O
a 	 O
McDonald 	 ORG
's 	 ORG
restaurant 	 O
on 	 O
St. 	 CIT
Petersburg 	 CIT
's 	 O
main 	 O
street 	 O
, 	 O
injuring 	 O
six 	 O
people 	 O
. 	 O
The 	 O
blast 	 O
shattered 	 O
windows 	 O
and 	 O
caused 	 O
part 	 O
of 	 O
the 	 O
restaurant 	 O
's 	 O
ceiling 	 O
to 	 O
cave 	 O
in 	 O
. 	 O
None 	 O
of 	 O
the 	 O
injuries 	 O
are 	 O
said 	 O
to 	 O
be 	 O
serious 	 O
. 	 O
The 	 O
blast 	 O
occurred 	 O
along 	 O
Nevsky 	 O
Prospekt 	 O
. 	 O
Police 	 ORG
closed 	 O
down 	 O
part 	 O
of 	 O
St. 	 CIT
Petersburg 	 CIT
's 	 O
main 	 O
street 	 O
while 	 O
they 	 O
carried 	 O
it 	 O
their 	 O
investigation 	 O
. 	 O
A 	 O
car 	 O
bombing 	 O
of 	 O
a 	 O
Moscow 	 CIT
McDonald 	 ORG
's 	 ORG
by 	 O
Muslim 	 O
extremists 	 O
in 	 O
2002 	 O
killed 	 O
one 	 O
person 	 O
and 	 O
wounded 	 O
seven 	 O
. 	 O

The 	 O
French 	 COU
annexed 	 O
various 	 O
Polynesian 	 COU
island 	 COU
groups 	 COU
during 	 O
the 	 O
19th 	 O
century 	 O
. 	 O
In 	 O
September 	 O
1995 	 O
, 	 O
France 	 COU
stirred 	 O
up 	 O
widespread 	 O
protests 	 O
by 	 O
resuming 	 O
nuclear 	 O
testing 	 O
on 	 O
the 	 O
Mururoa 	 NAT
atoll 	 NAT
after 	 O
a 	 O
three-year 	 O
moratorium 	 O
. 	 O
The 	 O
tests 	 O
were 	 O
suspended 	 O
in 	 O
January 	 O
1996 	 O
. 	 O
In 	 O
recent 	 O
years 	 O
, 	 O
French 	 COU
Polynesia 	 COU
's 	 O
autonomy 	 O
has 	 O
been 	 O
considerably 	 O
expanded 	 O
. 	 O


Iraqi 	 O
officials 	 O
say 	 O
a 	 O
car 	 O
bomb 	 O
in 	 O
central 	 O
Baghdad 	 CIT
has 	 O
killed 	 O
at 	 O
least 	 O
14 	 O
people 	 O
and 	 O
wounded 	 O
at 	 O
least 	 O
64 	 O
others 	 O
. 	 O
They 	 O
say 	 O
a 	 O
woman 	 O
and 	 O
a 	 O
child 	 O
are 	 O
among 	 O
the 	 O
dead 	 O
from 	 O
Friday 	 O
's 	 O
blast 	 O
in 	 O
a 	 O
crowded 	 O
market 	 O
. 	 O
In 	 O
other 	 O
developments 	 O
, 	 O
the 	 O
U.S. 	 ORG
military 	 ORG
says 	 O
coalition 	 O
forces 	 O
killed 	 O
five 	 O
militants 	 O
and 	 O
detained 	 O
14 	 O
suspects 	 O
during 	 O
operations 	 O
against 	 O
al-Qaida 	 ORG
in 	 O
Iraq 	 COU
. 	 O
Officials 	 O
say 	 O
the 	 O
raid 	 O
in 	 O
Muqdadiyah 	 CIT
targeted 	 O
individuals 	 O
associated 	 O
with 	 O
a 	 O
network 	 O
involved 	 O
in 	 O
numerous 	 O
engagements 	 O
with 	 O
coalition 	 O
forces 	 O
. 	 O
The 	 O
military 	 O
says 	 O
coalition 	 O
forces 	 O
also 	 O
conducted 	 O
operations 	 O
near 	 O
Salman 	 CIT
Pak 	 CIT
, 	 O
Samarra 	 CIT
and 	 O
Baghdad 	 CIT
. 	 O

British 	 ORG
police 	 ORG
have 	 O
been 	 O
out 	 O
in 	 O
force 	 O
in 	 O
Edinburgh 	 CIT
, 	 O
Scotland 	 COU
, 	 O
Monday 	 O
, 	 O
where 	 O
demonstrators 	 O
have 	 O
begun 	 O
protesting 	 O
the 	 O
G-Eight 	 ORG
conference 	 O
of 	 O
industrialized 	 O
nations 	 O
that 	 O
opens 	 O
Wednesday 	 O
. 	 O
An 	 O
undetermined 	 O
number 	 O
of 	 O
arrests 	 O
were 	 O
reported 	 O
after 	 O
some 	 O
of 	 O
the 	 O
protesters 	 O
scuffled 	 O
with 	 O
police 	 ORG
. 	 O
There 	 O
were 	 O
no 	 O
reports 	 O
of 	 O
serious 	 O
violence 	 O
. 	 O
Advocates 	 O
of 	 O
several 	 O
causes 	 O
have 	 O
descended 	 O
to 	 O
promote 	 O
their 	 O
causes 	 O
, 	 O
including 	 O
representatives 	 O
from 	 O
anti-military 	 O
, 	 O
anti-nuclear 	 O
, 	 O
and 	 O
anti-globalization 	 O
groups 	 O
. 	 O

A 	 O
series 	 O
of 	 O
discouraging 	 O
reports 	 O
on 	 O
the 	 O
U.S. 	 COU
economy 	 O
has 	 O
brought 	 O
sharp 	 O
criticism 	 O
from 	 O
the 	 O
Democrat 	 ORG
who 	 O
heads 	 O
a 	 O
key 	 O
economic 	 O
committee 	 O
. 	 O
Senator 	 O
Charles 	 PER
Schumer 	 PER
said 	 O
Friday 	 O
reports 	 O
showing 	 O
a 	 O
declining 	 O
job 	 O
market 	 O
and 	 O
record-high 	 O
foreclosures 	 O
are 	 O
more 	 O
evidence 	 O
that 	 O
the 	 O
U.S. 	 COU
economy 	 O
is 	 O
headed 	 O
for 	 O
recession 	 O
. 	 O
Schumer 	 PER
accuses 	 O
the 	 O
Bush 	 ORG
administration 	 ORG
of 	 O
doing 	 O
far 	 O
too 	 O
little 	 O
to 	 O
fend 	 O
off 	 O
the 	 O
economic 	 O
crisis 	 O
. 	 O
White 	 ORG
House 	 ORG
spokesman 	 O
Tony 	 PER
Fratto 	 PER
says 	 O
the 	 O
economy 	 O
is 	 O
in 	 O
for 	 O
a 	 O
" 	 O
difficult 	 O
quarter 	 O
, 	 O
" 	 O
but 	 O
notes 	 O
that 	 O
the 	 O
new 	 O
stimulus 	 O
plan 	 O
is 	 O
just 	 O
getting 	 O
underway 	 O
. 	 O
He 	 O
says 	 O
it 	 O
should 	 O
restore 	 O
economic 	 O
growth 	 O
. 	 O

The 	 O
world 	 O
's 	 O
stock 	 O
markets 	 O
posted 	 O
mixed 	 O
results 	 O
Wednesday 	 O
after 	 O
a 	 O
week 	 O
of 	 O
turmoil 	 O
that 	 O
saw 	 O
steep 	 O
losses 	 O
and 	 O
some 	 O
recovery 	 O
. 	 O
The 	 O
major 	 O
U.S. 	 COU
stock 	 O
market 	 O
indexes 	 O
lost 	 O
around 	 O
three-tenths 	 O
of 	 O
a 	 O
percent 	 O
after 	 O
rising 	 O
oil 	 O
prices 	 O
discouraged 	 O
traders 	 O
. 	 O
European 	 O
stock 	 O
market 	 O
indexes 	 O
moved 	 O
up 	 O
two-tenths 	 O
of 	 O
a 	 O
percent 	 O
or 	 O
more 	 O
. 	 O
Dealers 	 O
say 	 O
many 	 O
investors 	 O
are 	 O
concerned 	 O
that 	 O
the 	 O
global 	 O
market 	 O
sell-off 	 O
that 	 O
began 	 O
last 	 O
week 	 O
may 	 O
resume 	 O
. 	 O
Earlier 	 O
in 	 O
Asia 	 O
, 	 O
major 	 O
indices 	 O
fell 	 O
almost 	 O
one 	 O
percent 	 O
in 	 O
Mumbai 	 CIT
and 	 O
Hong 	 CIT
Kong 	 CIT
, 	 O
while 	 O
Tokyo 	 CIT
was 	 O
down 	 O
half-a-percent 	 O
at 	 O
the 	 O
close 	 O
. 	 O

Authorities 	 O
in 	 O
Indian 	 COU
Kashmir 	 COU
say 	 O
militants 	 O
have 	 O
raided 	 O
a 	 O
police 	 O
station 	 O
, 	 O
killing 	 O
two 	 O
officers 	 O
and 	 O
stealing 	 O
a 	 O
cache 	 O
of 	 O
weapons 	 O
. 	 O
Police 	 O
officials 	 O
say 	 O
at 	 O
least 	 O
one 	 O
officer 	 O
assisted 	 O
the 	 O
group 	 O
of 	 O
militants 	 O
in 	 O
the 	 O
attack 	 O
late 	 O
Friday 	 O
in 	 O
the 	 O
remote 	 O
Doda 	 CIT
district 	 O
. 	 O
Police 	 O
gave 	 O
few 	 O
details 	 O
of 	 O
the 	 O
attack 	 O
. 	 O
Officials 	 O
say 	 O
security 	 O
forces 	 O
are 	 O
searching 	 O
for 	 O
the 	 O
attackers 	 O
, 	 O
who 	 O
fled 	 O
after 	 O
the 	 O
raid 	 O
. 	 O
Kashmir 	 COU
is 	 O
in 	 O
the 	 O
midst 	 O
of 	 O
a 	 O
17-year 	 O
insurgency 	 O
that 	 O
has 	 O
claimed 	 O
more 	 O
than 	 O
45,000 	 O
lives 	 O
. 	 O
Various 	 O
rebel 	 O
groups 	 O
are 	 O
fighting 	 O
for 	 O
an 	 O
independent 	 O
Kashmir 	 COU
or 	 O
its 	 O
merger 	 O
with 	 O
Pakistan 	 COU
. 	 O

Iraqi 	 O
officials 	 O
say 	 O
Turkish 	 O
warplanes 	 O
have 	 O
bombed 	 O
targets 	 O
in 	 O
the 	 O
Kurdish 	 COU
autonomous 	 COU
region 	 COU
of 	 O
northern 	 O
Iraq 	 COU
, 	 O
wounding 	 O
one 	 O
civilian 	 O
. 	 O
The 	 O
officials 	 O
say 	 O
Turkey 	 COU
bombed 	 O
the 	 O
village 	 O
of 	 O
Sidakan 	 CIT
near 	 O
the 	 O
Iranian 	 COU
border 	 O
Saturday 	 O
. 	 O
There 	 O
was 	 O
no 	 O
immediate 	 O
confirmation 	 O
of 	 O
the 	 O
strike 	 O
from 	 O
the 	 O
Turkish 	 ORG
military 	 ORG
. 	 O
Clashes 	 O
between 	 O
Turks 	 O
and 	 O
Kurds 	 O
have 	 O
increased 	 O
since 	 O
the 	 O
Kurdistan 	 ORG
Workers 	 ORG
' 	 ORG
Party 	 ORG
, 	 O
or 	 O
PKK 	 ORG
, 	 O
called 	 O
off 	 O
a 	 O
yearlong 	 O
cease-fire 	 O
in 	 O
June 	 O
. 	 O
The 	 O
group 	 O
cited 	 O
repeated 	 O
Turkish 	 ORG
military 	 ORG
attacks 	 O
for 	 O
ending 	 O
the 	 O
truce 	 O
. 	 O
The 	 O
PKK 	 ORG
is 	 O
fighting 	 O
for 	 O
Kurdish 	 O
autonomy 	 O
in 	 O
southeastern 	 O
Turkey 	 COU
, 	 O
and 	 O
has 	 O
bases 	 O
in 	 O
northern 	 O
Iraq 	 COU
. 	 O

Police 	 O
in 	 O
Nepal 	 COU
have 	 O
detained 	 O
more 	 O
than 	 O
50 	 O
Tibetan 	 O
protesters 	 O
as 	 O
they 	 O
prepared 	 O
to 	 O
demonstrate 	 O
near 	 O
the 	 O
Chinese 	 ORG
embassy 	 ORG
in 	 O
Kathmandu 	 CIT
. 	 O
The 	 O
protesters 	 O
were 	 O
traveling 	 O
to 	 O
the 	 O
embassy 	 O
in 	 O
buses 	 O
when 	 O
they 	 O
were 	 O
stopped 	 O
by 	 O
police 	 O
and 	 O
driven 	 O
to 	 O
detention 	 O
centers 	 O
. 	 O
Nepal 	 COU
is 	 O
home 	 O
to 	 O
some 	 O
20,000 	 O
Tibetan 	 O
refugees 	 O
and 	 O
has 	 O
seen 	 O
daily 	 O
, 	 O
pro-Tibet 	 O
demonstrations 	 O
since 	 O
violence 	 O
erupted 	 O
in 	 O
Tibet 	 COU
in 	 O
March 	 O
. 	 O
Police 	 O
have 	 O
been 	 O
detaining 	 O
the 	 O
protesters 	 O
but 	 O
are 	 O
generally 	 O
freeing 	 O
them 	 O
the 	 O
same 	 O
day 	 O
. 	 O
Nepal 	 COU
regards 	 O
Tibet 	 COU
as 	 O
part 	 O
of 	 O
China 	 COU
. 	 O

Iranian 	 O
President 	 O
Mahmoud 	 PER
Ahmadinejad 	 PER
is 	 O
reported 	 O
to 	 O
have 	 O
called 	 O
Israel 	 COU
the 	 O
" 	 O
flag 	 O
of 	 O
Satan 	 O
. 	 O
" 	 O
The 	 O
state-run 	 O
IRNA 	 ORG
news 	 ORG
agency 	 ORG
says 	 O
the 	 O
Iranian 	 O
leader 	 O
made 	 O
the 	 O
comment 	 O
to 	 O
a 	 O
religious 	 O
conference 	 O
. 	 O
It 	 O
quotes 	 O
him 	 O
saying 	 O
that 	 O
when 	 O
the 	 O
philosophy 	 O
of 	 O
a 	 O
state 	 O
is 	 O
in 	 O
question 	 O
, 	 O
it 	 O
may 	 O
be 	 O
on 	 O
the 	 O
path 	 O
to 	 O
decline 	 O
and 	 O
dissolution 	 O
. 	 O
Mr. 	 PER
Ahmadinejad 	 PER
sparked 	 O
international 	 O
outrage 	 O
in 	 O
2005 	 O
when 	 O
he 	 O
said 	 O
Israel 	 COU
should 	 O
be 	 O
wiped 	 O
off 	 O
the 	 O
map 	 O
. 	 O
He 	 O
has 	 O
also 	 O
called 	 O
the 	 O
Holocaust 	 O
a 	 O
myth 	 O
. 	 O

Iraqi 	 O
officials 	 O
say 	 O
five 	 O
people 	 O
, 	 O
including 	 O
four 	 O
children 	 O
, 	 O
were 	 O
killed 	 O
Thursday 	 O
in 	 O
attacks 	 O
in 	 O
Baghdad 	 CIT
. 	 O
Authorities 	 O
say 	 O
a 	 O
bomb 	 O
attached 	 O
to 	 O
a 	 O
government 	 O
worker 	 O
's 	 O
car 	 O
exploded 	 O
, 	 O
killing 	 O
four 	 O
children 	 O
inside 	 O
it 	 O
and 	 O
injuring 	 O
the 	 O
worker 	 O
and 	 O
his 	 O
wife 	 O
. 	 O
Meanwhile 	 O
, 	 O
unidentified 	 O
gunmen 	 O
killed 	 O
an 	 O
Iraqi 	 O
army 	 O
officer 	 O
and 	 O
injured 	 O
at 	 O
his 	 O
wife 	 O
in 	 O
northern 	 O
Baghdad 	 CIT
. 	 O
The 	 O
Associated 	 ORG
Press 	 ORG
says 	 O
the 	 O
officer 	 O
worked 	 O
with 	 O
units 	 O
that 	 O
provide 	 O
protection 	 O
to 	 O
Iraqi 	 O
government 	 O
officials 	 O
. 	 O
Separately 	 O
, 	 O
officials 	 O
in 	 O
Baghdad 	 CIT
say 	 O
a 	 O
police 	 O
officer 	 O
was 	 O
mistakenly 	 O
killed 	 O
after 	 O
Finance 	 O
Ministry 	 O
security 	 O
guards 	 O
opened 	 O
fire 	 O
on 	 O
a 	 O
suspicious 	 O
vehicle 	 O
. 	 O

Saudi 	 COU
Arabia 	 COU
's 	 O
King 	 PER
Abdullah 	 PER
held 	 O
talks 	 O
with 	 O
Pakistani 	 O
President 	 O
Pervez 	 PER
Musharraf 	 PER
Saturday 	 O
in 	 O
the 	 O
kingdom 	 O
. 	 O
Official 	 O
media 	 O
in 	 O
Saudi 	 COU
Arabia 	 COU
reported 	 O
that 	 O
the 	 O
two 	 O
met 	 O
at 	 O
a 	 O
palace 	 O
in 	 O
Jeddah 	 CIT
. 	 O
News 	 O
media 	 O
say 	 O
the 	 O
leaders 	 O
and 	 O
their 	 O
delegations 	 O
discussed 	 O
ways 	 O
to 	 O
enhance 	 O
cooperation 	 O
between 	 O
the 	 O
two 	 O
nations 	 O
. 	 O
According 	 O
to 	 O
reports 	 O
, 	 O
King 	 PER
Abdullah 	 PER
also 	 O
held 	 O
a 	 O
lunch 	 O
party 	 O
for 	 O
General 	 O
Musharraf 	 PER
and 	 O
his 	 O
delegation 	 O
. 	 O
The 	 O
Pakistani 	 O
president 	 O
said 	 O
he 	 O
was 	 O
grateful 	 O
for 	 O
the 	 O
hospitality 	 O
. 	 O

French 	 O
President 	 O
Nicolas 	 PER
Sarkozy 	 PER
says 	 O
France 	 COU
is 	 O
willing 	 O
to 	 O
help 	 O
Egypt 	 COU
