China 	 COU
having 	 O
on 	 O
Americans 	 O
. 	 O

Police 	 ORG
have 	 O
broken 	 O
up 	 O
a 	 O
Europe-wide 	 O
child 	 O
trafficking 	 O
ring 	 O
involving 	 O
mostly 	 O
Bulgarian 	 O
children 	 O
trained 	 O
in 	 O
petty 	 O
crime 	 O
. 	 O
Italian 	 O
police 	 ORG
led 	 O
the 	 O
operation 	 O
, 	 O
arresting 	 O
41 	 O
Bulgarian 	 O
nationals 	 O
in 	 O
Italy 	 COU
, 	 O
Bulgaria 	 COU
, 	 O
Austria 	 COU
, 	 O
and 	 O
Germany 	 COU
. 	 O
Investigators 	 O
said 	 O
Monday 	 O
impoverished 	 O
Bulgarian 	 O
families 	 O
sold 	 O
more 	 O
than 	 O
100 	 O
children 	 O
to 	 O
the 	 O
traffickers 	 O
who 	 O
then 	 O
smuggled 	 O
them 	 O
across 	 O
Europe 	 NAT
to 	 O
carry 	 O
out 	 O
such 	 O
petty 	 O
crimes 	 O
as 	 O
picking 	 O
pockets 	 O
. 	 O
The 	 O
investigators 	 O
said 	 O
the 	 O
suspects 	 O
shared 	 O
some 	 O
of 	 O
the 	 O
stolen 	 O
money 	 O
with 	 O
the 	 O
parents 	 O
. 	 O
Police 	 ORG
also 	 O
said 	 O
some 	 O
of 	 O
the 	 O
children 	 O
were 	 O
sexually 	 O
abused 	 O
. 	 O

Palestinian 	 O
officials 	 O
say 	 O
security 	 O
forces 	 O
have 	 O
arrested 	 O
two 	 O
Palestinian 	 O
militants 	 O
over 	 O
rocket 	 O
attacks 	 O
on 	 O
Jewish 	 O
settlements 	 O
in 	 O
the 	 O
Gaza 	 NAT
Strip 	 NAT
. 	 O
Authorities 	 O
said 	 O
Friday 	 O
the 	 O
members 	 O
of 	 O
the 	 O
al-Aqsa 	 ORG
Martyrs 	 ORG
Brigades 	 ORG
were 	 O
detained 	 O
for 	 O
questioning 	 O
. 	 O
The 	 O
group 	 O
is 	 O
loosely 	 O
affiliated 	 O
with 	 O
the 	 O
ruling 	 O
Fatah 	 ORG
movement 	 ORG
. 	 O
An 	 O
al-Aqsa 	 ORG
spokesman 	 O
confirmed 	 O
that 	 O
two 	 O
of 	 O
the 	 O
group 	 O
's 	 O
militants 	 O
had 	 O
been 	 O
detained 	 O
. 	 O
Palestinian 	 O
President 	 O
Mahmoud 	 PER
Abbas 	 PER
recently 	 O
vowed 	 O
to 	 O
use 	 O
an 	 O
" 	 O
iron 	 O
fist 	 O
" 	 O
against 	 O
militants 	 O
to 	 O
enforce 	 O
a 	 O
truce 	 O
between 	 O
Israel 	 COU
and 	 O
the 	 O
Palestinians 	 O
. 	 O

The 	 O
price 	 O
of 	 O
crude 	 O
oil 	 O
dropped 	 O
more 	 O
than 	 O
two 	 O
percent 	 O
in 	 O
New 	 CIT
York 	 CIT
trading 	 O
Wednesday 	 O
, 	 O
falling 	 O
to 	 O
the 	 O
lowest 	 O
level 	 O
in 	 O
about 	 O
a 	 O
month 	 O
. 	 O
The 	 O
price 	 O
of 	 O
a 	 O
barrel 	 O
of 	 O
crude 	 O
oil 	 O
for 	 O
future 	 O
delivery 	 O
was 	 O
off 	 O
nearly 	 O
$ 	 O
2 	 O
and 	 O
went 	 O
as 	 O
low 	 O
as 	 O
$ 	 O
73.83. 	 O
The 	 O
decline 	 O
came 	 O
as 	 O
a 	 O
government 	 O
report 	 O
said 	 O
the 	 O
total 	 O
supply 	 O
of 	 O
crude 	 O
oil 	 O
and 	 O
refined 	 O
fuels 	 O
in 	 O
the 	 O
United 	 COU
States 	 COU
was 	 O
more 	 O
than 	 O
1.1 	 O
billion 	 O
barrels 	 O
, 	 O
the 	 O
highest 	 O
level 	 O
in 	 O
at 	 O
least 	 O
two 	 O
decades 	 O
. 	 O
An 	 O
abundant 	 O
supply 	 O
of 	 O
petroleum 	 O
products 	 O
generally 	 O
pushes 	 O
prices 	 O
downward 	 O
. 	 O

Pakistani 	 O
officials 	 O
say 	 O
security 	 O
forces 	 O
have 	 O
killed 	 O
at 	 O
least 	 O
23 	 O
militants 	 O
in 	 O
fighting 	 O
that 	 O
took 	 O
place 	 O
during 	 O
a 	 O
search 	 O
operation 	 O
in 	 O
the 	 O
country 	 O
's 	 O
northwest 	 O
. 	 O
The 	 O
clash 	 O
took 	 O
place 	 O
in 	 O
Khyber 	 COU
Pakhtunkhwa 	 COU
province 	 O
on 	 O
Tuesday 	 O
, 	 O
a 	 O
day 	 O
after 	 O
militants 	 O
launched 	 O
a 	 O
suicide 	 O
bomb 	 O
attack 	 O
near 	 O
a 	 O
paramilitary 	 O
base 	 O
, 	 O
killing 	 O
one 	 O
soldier 	 O
. 	 O
Officials 	 O
say 	 O
Tuesday 	 O
's 	 O
gunbattle 	 O
began 	 O
when 	 O
militants 	 O
opened 	 O
fire 	 O
on 	 O
troops 	 O
searching 	 O
the 	 O
area 	 O
. 	 O
Pakistan 	 COU
's 	 O
military 	 O
carried 	 O
out 	 O
a 	 O
major 	 O
offensive 	 O
against 	 O
the 	 O
Taliban 	 ORG
in 	 O
Lower 	 NAT
Dir 	 NAT
and 	 O
neighboring 	 O
Swat 	 NAT
Valley 	 NAT
last 	 O
year 	 O
. 	 O

Turkish 	 O
authorities 	 O
say 	 O
troops 	 O
killed 	 O
10 	 O
Kurdish 	 O
rebels 	 O
in 	 O
two 	 O
operations 	 O
since 	 O
Monday 	 O
. 	 O
The 	 O
officials 	 O
say 	 O
seven 	 O
rebels 	 O
were 	 O
killed 	 O
in 	 O
fighting 	 O
with 	 O
soldiers 	 O
in 	 O
Siirt 	 NAT
province 	 O
. 	 O
Three 	 O
other 	 O
rebels 	 O
were 	 O
shot 	 O
and 	 O
killed 	 O
in 	 O
Van 	 NAT
province 	 O
. 	 O
Authorities 	 O
believe 	 O
the 	 O
three 	 O
entered 	 O
the 	 O
area 	 O
from 	 O
Iran 	 COU
. 	 O
Turkey 	 COU
's 	 O
military 	 O
has 	 O
recently 	 O
intensified 	 O
operations 	 O
against 	 O
the 	 O
separatist 	 O
Kurdistan 	 ORG
Workers 	 ORG
Party 	 ORG
( 	 O
PKK 	 ORG
) 	 O
. 	 O
The 	 O
PKK 	 ORG
has 	 O
been 	 O
fighting 	 O
for 	 O
autonomy 	 O
in 	 O
Turkey 	 COU
's 	 O
mainly 	 O
Kurdish 	 O
southeast 	 O
since 	 O
1984 	 O
. 	 O
The 	 O
United 	 COU
States 	 COU
, 	 O
the 	 O
European 	 ORG
Union 	 ORG
and 	 O
Turkey 	 COU
classify 	 O
the 	 O
PKK 	 ORG
as 	 O
a 	 O
terrorist 	 O
group 	 O
. 	 O

The 	 COU
Sultanate 	 COU
of 	 COU
Brunei 	 COU
's 	 O
influence 	 O
peaked 	 O
between 	 O
the 	 O
15th 	 O
and 	 O
17th 	 O
centuries 	 O
when 	 O
its 	 O
control 	 O
extended 	 O
over 	 O
coastal 	 O
areas 	 O
of 	 O
northwest 	 O
Borneo 	 COU
and 	 O
the 	 O
southern 	 O
Philippines 	 COU
. 	 O
Brunei 	 COU
subsequently 	 O
entered 	 O
a 	 O
period 	 O
of 	 O
decline 	 O
brought 	 O
on 	 O
by 	 O
internal 	 O
strife 	 O
over 	 O
royal 	 O
succession 	 O
, 	 O
colonial 	 O
expansion 	 O
of 	 O
European 	 O
powers 	 O
, 	 O
and 	 O
piracy 	 O
. 	 O
In 	 O
1888 	 O
, 	 O
Brunei 	 COU
became 	 O
a 	 O
British 	 O
protectorate 	 O
; 	 O
independence 	 O
was 	 O
achieved 	 O
in 	 O
1984 	 O
. 	 O
The 	 O
same 	 O
family 	 O
has 	 O
ruled 	 O
Brunei 	 COU
for 	 O
over 	 O
six 	 O
centuries 	 O
. 	 O
Brunei 	 COU
benefits 	 O
from 	 O
extensive 	 O
petroleum 	 O
and 	 O
natural 	 O
gas 	 O
fields 	 O
, 	 O
the 	 O
source 	 O
of 	 O
one 	 O
of 	 O
the 	 O
highest 	 O
per 	 O
capita 	 O
GDPs 	 O
in 	 O
Asia 	 NAT
. 	 O

First 	 O
inhabited 	 O
by 	 O
Arawak 	 O
and 	 O
later 	 O
by 	 O
Carib 	 O
Indians 	 O
, 	 O
the 	 O
Virgin 	 COU
Islands 	 COU
were 	 O
settled 	 O
by 	 O
the 	 O
Dutch 	 O
in 	 O
1648 	 O
and 	 O
then 	 O
annexed 	 O
by 	 O
the 	 O
English 	 O
in 	 O
1672 	 O
. 	 O
The 	 O
islands 	 O
were 	 O
part 	 O
of 	 O
the 	 O
British 	 O
colony 	 O
of 	 O
the 	 O
Leeward 	 NAT
Islands 	 NAT
from 	 O
1872-1960 	 O
; 	 O
they 	 O
were 	 O
granted 	 O
autonomy 	 O
in 	 O
1967 	 O
. 	 O
The 	 O
economy 	 O
is 	 O
closely 	 O
tied 	 O
to 	 O
the 	 O
larger 	 O
and 	 O
more 	 O
populous 	 O
US 	 COU
Virgin 	 COU
Islands 	 COU
to 	 O
the 	 O
west 	 O
; 	 O
the 	 O
US 	 COU
dollar 	 O
is 	 O
the 	 O
legal 	 O
currency 	 O
. 	 O

El 	 COU
Salvador 	 COU
achieved 	 O
independence 	 O
from 	 O
Spain 	 COU
in 	 O
1821 	 O
and 	 O
from 	 O
the 	 O
Central 	 COU
American 	 COU
Federation 	 COU
in 	 O
1839 	 O
. 	 O
A 	 O
12-year 	 O
civil 	 O
war 	 O
, 	 O
which 	 O
cost 	 O
about 	 O
75,000 	 O
lives 	 O
, 	 O
was 	 O
brought 	 O
to 	 O
a 	 O
close 	 O
in 	 O
1992 	 O
when 	 O
the 	 O
government 	 O
and 	 O
leftist 	 O
rebels 	 O
signed 	 O
a 	 O
treaty 	 O
that 	 O
provided 	 O
for 	 O
military 	 O
and 	 O
political 	 O
reforms 	 O
. 	 O

An 	 O
African 	 ORG
Union 	 ORG
official 	 O
says 	 O
two 	 O
of 	 O
the 	 O
mission 	 O
's 	 O
peacekeepers 	 O
have 	 O
been 	 O
killed 	 O
in 	 O
an 	 O
ambush 	 O
in 	 O
Sudan 	 COU
's 	 O
volatile 	 O
Darfur 	 NAT
region 	 O
. 	 O
The 	 O
acting 	 O
head 	 O
of 	 O
the 	 O
AU 	 ORG
mission 	 O
in 	 O
Sudan 	 COU
, 	 O
Jean-Baptiste 	 PER
Natama 	 PER
, 	 O
said 	 O
the 	 O
two 	 O
peacekeeping 	 O
soldiers 	 O
, 	 O
as 	 O
well 	 O
as 	 O
two 	 O
civilian 	 O
contractors 	 O
, 	 O
were 	 O
killed 	 O
Saturday 	 O
during 	 O
a 	 O
surprise 	 O
attack 	 O
in 	 O
South 	 NAT
Darfur 	 NAT
. 	 O
More 	 O
than 	 O
6,000 	 O
African 	 ORG
Union 	 ORG
peacekeepers 	 O
are 	 O
deployed 	 O
to 	 O
the 	 O
region 	 O
. 	 O
Fighting 	 O
between 	 O
Sudanese 	 O
rebels 	 O
and 	 O
government-backed 	 O
Arab 	 O
militia 	 O
in 	 O
Darfur 	 NAT
has 	 O
killed 	 O
tens 	 O
of 	 O
thousands 	 O
of 	 O
people 	 O
and 	 O
driven 	 O
more 	 O
than 	 O
two 	 O
million 	 O
others 	 O
from 	 O
their 	 O
homes 	 O
since 	 O
2003 	 O
. 	 O

Palestinian 	 O
health 	 O
officials 	 O
say 	 O
a 	 O
Hamas 	 ORG
militant 	 O
is 	 O
dead 	 O
and 	 O
that 	 O
16 	 O
people 	 O
have 	 O
been 	 O
wounded 	 O
in 	 O
an 	 O
explosion 	 O
Saturday 	 O
at 	 O
a 	 O
home 	 O
in 	 O
Gaza 	 CIT
City 	 CIT
. 	 O
Officials 	 O
say 	 O
two 	 O
of 	 O
the 	 O
wounded 	 O
are 	 O
in 	 O
critical 	 O
condition 	 O
. 	 O
Witnesses 	 O
say 	 O
the 	 O
home 	 O
belonged 	 O
to 	 O
the 	 O
victim 	 O
, 	 O
a 	 O
Hamas 	 ORG
activist 	 O
named 	 O
Nader 	 PER
Abu 	 PER
Shaban 	 PER
. 	 O
Officials 	 O
say 	 O
the 	 O
cause 	 O
of 	 O
the 	 O
explosion 	 O
is 	 O
under 	 O
investigation 	 O
. 	 O
Several 	 O
Palestinians 	 O
have 	 O
been 	 O
killed 	 O
after 	 O
explosives 	 O
being 	 O
stored 	 O
, 	 O
or 	 O
made 	 O
, 	 O
in 	 O
their 	 O
homes 	 O
accidentally 	 O
detonated 	 O
. 	 O

The 	 O
price 	 O
of 	 O
oil 	 O
hit 	 O
another 	 O
new 	 O
record 	 O
Friday 	 O
- 	 O
$ 	 O
147 	 O
a 	 O
barrel 	 O
. 	 O
U.S. 	 COU
airlines 	 ORG
are 	 O
lightening 	 O
their 	 O
loads 	 O
by 	 O
cutting 	 O
back 	 O
on 	 O
luxuries 	 O
that 	 O
weigh 	 O
down 	 O
airplanes 	 O
. 	 O
Meanwhile 	 O
, 	 O
the 	 O
U.S. 	 ORG
Congress 	 ORG
is 	 O
considering 	 O
proposed 	 O
laws 	 O
that 	 O
some 	 O
say 	 O
would 	 O
help 	 O
stabilize 	 O
the 	 O
price 	 O
of 	 O
oil 	 O
. 	 O
VOA 	 ORG
's 	 O
Carolyn 	 PER
Presutti 	 PER
reports 	 O
. 	 O

In 	 O
many 	 O
rural 	 O
areas 	 O
of 	 O
North 	 NAT
America 	 NAT
, 	 O
cowboy 	 O
churches 	 O
are 	 O
attracting 	 O
people 	 O
that 	 O
might 	 O
shy 	 O
away 	 O
from 	 O
traditional 	 ORG
Christian 	 ORG
churches 	 ORG
. 	 O
These 	 O
religious 	 O
gatherings 	 O
are 	 O
generally 	 O
held 	 O
during 	 O
the 	 O
week 	 O
and 	 O
feature 	 O
a 	 O
very 	 O
casual 	 O
style 	 O
. 	 O
For 	 O
producer 	 O
Yi 	 PER
Suli 	 PER
, 	 O
Elaine 	 PER
Lu 	 PER
has 	 O
more 	 O
on 	 O
one 	 O
cowboy 	 O
church 	 O
in 	 O
North 	 COU
Carolina 	 COU
. 	 O

Brazilian 	 O
police 	 ORG
say 	 O
they 	 O
have 	 O
broken 	 O
up 	 O
a 	 O
smuggling 	 O
network 	 O
, 	 O
involving 	 O
foreign 	 O
diplomats 	 O
from 	 O
at 	 O
least 	 O
five 	 O
embassies 	 O
. 	 O
Police 	 ORG
say 	 O
the 	 O
foreign 	 O
envoys 	 O
used 	 O
their 	 O
diplomatic 	 O
privileges 	 O
help 	 O
smuggle 	 O
items 	 O
into 	 O
the 	 O
country 	 O
tax 	 O
free 	 O
. 	 O
The 	 O
luxury 	 O
products 	 O
such 	 O
as 	 O
whiskey 	 O
and 	 O
perfumes 	 O
were 	 O
sold 	 O
to 	 O
the 	 O
upper 	 O
class 	 O
in 	 O
the 	 O
capital 	 O
of 	 O
Brasilia 	 CIT
. 	 O
Federal 	 ORG
police 	 ORG
said 	 O
Friday 	 O
that 	 O
embassies 	 O
from 	 O
three 	 O
African 	 O
and 	 O
two 	 O
Middle 	 O
Eastern 	 O
countries 	 O
were 	 O
allegedly 	 O
part 	 O
of 	 O
the 	 O
ring 	 O
. 	 O

President 	 O
Bush 	 PER
says 	 O
the 	 O
United 	 COU
States 	 COU
must 	 O
change 	 O
its 	 O
habits 	 O
and 	 O
reduce 	 O
its 	 O
dependence 	 O
on 	 O
foreign 	 O
oil 	 O
. 	 O
President 	 O
Bush 	 PER
says 	 O
the 	 O
country 	 O
's 	 O
reliance 	 O
on 	 O
fossil 	 O
fuels 	 O
harms 	 O
the 	 O
environment 	 O
and 	 O
puts 	 O
Americans 	 O
at 	 O
the 	 O
mercy 	 O
of 	 O
nations 	 O
that 	 O
do 	 O
not 	 O
enjoy 	 O
the 	 O
same 	 O
freedoms 	 O
. 	 O
American 	 O
consumers 	 O
, 	 O
for 	 O
their 	 O
part 	 O
, 	 O
appear 	 O
to 	 O
be 	 O
changing 	 O
their 	 O
habits 	 O
, 	 O
but 	 O
they 	 O
are 	 O
doing 	 O
so 	 O
for 	 O
more 	 O
practical 	 O
reasons 	 O
. 	 O
VOA 	 ORG
's 	 O
Mil 	 PER
Arcega 	 PER
reports 	 O
. 	 O

A 	 O
Ugandan 	 O
official 	 O
says 	 O
a 	 O
massive 	 O
landslide 	 O
in 	 O
eastern 	 O
Uganda 	 COU
has 	 O
killed 	 O
at 	 O
least 	 O
106 	 O
people 	 O
. 	 O
Minister 	 O
of 	 O
State 	 O
for 	 O
Disasters 	 O
Mussa 	 PER
Ecweru 	 PER
told 	 O
VOA 	 ORG
's 	 O
Swahili 	 O
service 	 O
that 	 O
300 	 O
people 	 O
remain 	 O
missing 	 O
. 	 O
The 	 O
landslide 	 O
engulfed 	 O
three 	 O
villages 	 O
in 	 O
the 	 O
Bududa 	 NAT
region 	 NAT
near 	 O
Mount 	 NAT
Elgon 	 NAT
late 	 O
on 	 O
Monday 	 O
, 	 O
following 	 O
more 	 O
than 	 O
a 	 O
week 	 O
of 	 O
heavy 	 O
rain 	 O
in 	 O
the 	 O
area 	 O
. 	 O
Police 	 ORG
and 	 O
armed 	 O
forces 	 O
are 	 O
taking 	 O
part 	 O
in 	 O
efforts 	 O
to 	 O
find 	 O
survivors 	 O
. 	 O
Officials 	 O
say 	 O
the 	 O
mudslide 	 O
destroyed 	 O
homes 	 O
, 	 O
markets 	 O
, 	 O
schools 	 O
, 	 O
and 	 O
a 	 O
health 	 O
clinic 	 O
. 	 O

Colombian 	 O
police 	 ORG
say 	 O
U.S. 	 O
and 	 O
Colombian 	 O
drug 	 O
enforcement 	 O
agents 	 O
have 	 O
dismantled 	 O
a 	 O
major 	 O
narcotics 	 O
smuggling 	 O
operation 	 O
. 	 O
Authorities 	 O
say 	 O
the 	 O
drug 	 O
ring 	 O
had 	 O
been 	 O
smuggling 	 O
huge 	 O
amounts 	 O
of 	 O
heroin 	 O
and 	 O
cocaine 	 O
into 	 O
the 	 O
United 	 COU
States 	 COU
from 	 O
Latin 	 NAT
America 	 NAT
. 	 O
At 	 O
least 	 O
27 	 O
people 	 O
were 	 O
arrested 	 O
in 	 O
the 	 O
operation 	 O
, 	 O
most 	 O
of 	 O
them 	 O
in 	 O
Colombia 	 COU
. 	 O
Police 	 ORG
say 	 O
they 	 O
also 	 O
confiscated 	 O
61 	 O
kilograms 	 O
of 	 O
heroin 	 O
and 	 O
at 	 O
least 	 O
129 	 O
kilograms 	 O
of 	 O
cocaine 	 O
, 	 O
worth 	 O
more 	 O
than 	 O
seven 	 O
million 	 O
dollars 	 O
. 	 O
Colombia 	 COU
is 	 O
the 	 O
world 	 O
's 	 O
largest 	 O
producer 	 O
of 	 O
cocaine 	 O
, 	 O
most 	 O
of 	 O
which 	 O
is 	 O
shipped 	 O
to 	 O
the 	 O
United 	 COU
States 	 COU
. 	 O

Iraq 	 COU
's 	 O
government 	 O
says 	 O
Prime 	 O
Minister 	 O
Nouri 	 PER
al-Maliki 	 PER
will 	 O
make 	 O
his 	 O
first 	 O
official 	 O
visit 	 O
to 	 O
Iran 	 COU
on 	 O
Monday 	 O
. 	 O
Officials 	 O
say 	 O
his 	 O
two-day 	 O
visit 	 O
will 	 O
focus 	 O
on 	 O
security 	 O
issues 	 O
and 	 O
promoting 	 O
bilateral 	 O
relations 	 O
. 	 O
Earlier 	 O
this 	 O
week 	 O
, 	 O
Iraqi 	 O
Deputy 	 O
Prime 	 O
Minister 	 O
Barham 	 PER
Saleh 	 PER
led 	 O
a 	 O
delegation 	 O
of 	 O
officials 	 O
on 	 O
a 	 O
visit 	 O
to 	 O
Iran 	 COU
aimed 	 O
at 	 O
enhancing 	 O
economic 	 O
ties 	 O
between 	 O
the 	 O
two 	 O
nations 	 O
. 	 O
Iraq 	 COU
and 	 O
Iran 	 COU
fought 	 O
a 	 O
bloody 	 O
war 	 O
in 	 O
the 	 O
1980s 	 O
when 	 O
then-Iraqi 	 O
leader 	 O
Saddam 	 PER
Hussein 	 PER
was 	 O
in 	 O
power 	 O
. 	 O
The 	 O
neighboring 	 O
countries 	 O
have 	 O
tried 	 O
to 	 O
build 	 O
closer 	 O
ties 	 O
in 	 O
recent 	 O
years 	 O
. 	 O

NATO 	 ORG
says 	 O
two 	 O
alliance 	 O
soldiers 	 O
have 	 O
been 	 O
killed 	 O
and 	 O
three 	 O
others 	 O
wounded 	 O
in 	 O
a 	 O
firefight 	 O
with 	 O
Taliban 	 ORG
insurgents 	 O
in 	 O
eastern 	 O
Afghanistan 	 COU
. 	 O
In 	 O
a 	 O
statement 	 O
, 	 O
the 	 O
NATO-led 	 O
International 	 O
Security 	 O
Assistance 	 O
Force 	 O
says 	 O
the 	 O
fighting 	 O
erupted 	 O
when 	 O
insurgents 	 O
ambushed 	 O
a 	 O
joint 	 O
NATO-Afghan 	 O
troop 	 O
patrol 	 O
in 	 O
the 	 O
Korangal 	 NAT
Valley 	 NAT
of 	 O
Kunar 	 NAT
province 	 NAT
late 	 O
Thursday 	 O
. 	 O
NATO 	 ORG
did 	 O
not 	 O
identify 	 O
the 	 O
nationalities 	 O
of 	 O
the 	 O
dead 	 O
and 	 O
wounded 	 O
soldiers 	 O
. 	 O
NATO 	 ORG
and 	 O
U.S. 	 O
forces 	 O
are 	 O
battling 	 O
a 	 O
resurgent 	 O
Taliban 	 ORG
presence 	 O
in 	 O
Afghanistan 	 COU
. 	 O
The 	 O
group 	 O
increasingly 	 O
has 	 O
used 	 O
suicide 	 O
attacks 	 O
and 	 O
roadside 	 O
bomb 	 O
blasts 	 O
since 	 O
U.S.-led 	 O
forces 	 O
ousted 	 O
it 	 O
from 	 O
power 	 O
in 	 O
the 	 O
late 	 O
2001 	 O
. 	 O

Witnesses 	 O
say 	 O
nearly 	 O
20 	 O
dead 	 O
whales 	 ANI
have 	 O
washed 	 O
up 	 O
Wednesday 	 O
on 	 O
a 	 O
beach 	 O
in 	 O
Dakar 	 CIT
, 	 O
Senegal 	 COU
. 	 O
Dakar 	 CIT
journalist 	 O
Ricci 	 PER
Shryock 	 PER
tells 	 O
VOA 	 ORG
national 	 O
police 	 ORG
are 	 O
removing 	 O
the 	 O
carcasses 	 O
in 	 O
trucks 	 O
. 	 O
She 	 O
said 	 O
the 	 O
whales 	 ANI
measure 	 O
some 	 O
3.5 	 O
to 	 O
4.5 	 O
meters 	 O
. 	 O
Local 	 O
villagers 	 O
say 	 O
as 	 O
many 	 O
as 	 O
100 	 O
whales 	 ANI
swam 	 O
up 	 O
to 	 O
shore 	 O
late 	 O
Tuesday 	 O
night 	 O
. 	 O
Fisherman 	 O
were 	 O
able 	 O
to 	 O
tow 	 O
some 	 O
of 	 O
the 	 O
animals 	 O
out 	 O
to 	 O
sea 	 O
. 	 O
It 	 O
is 	 O
unclear 	 O
why 	 O
the 	 O
animals 	 O
swam 	 O
close 	 O
to 	 O
shore 	 O
. 	 O

U.S. 	 O
military 	 O
officials 	 O
say 	 O
the 	 O
death 	 O
toll 	 O
from 	 O
Wednesday 	 O
's 	 O
helicopter 	 O
crash 	 O
in 	 O
southeastern 	 O
Afghanistan 	 COU
has 	 O
risen 	 O
to 	 O
16 	 O
, 	 O
including 	 O
at 	 O
least 	 O
four 	 O
American 	 O
crew 	 O
members 	 O
. 	 O
A 	 O
U.S. 	 O
statement 	 O
says 	 O
two 	 O
other 	 O
people 	 O
listed 	 O
on 	 O
the 	 O
flight 	 O
manifest 	 O
are 	 O
missing 	 O
. 	 O
The 	 O
Chinook 	 O
helicopter 	 O
was 	 O
returning 	 O
to 	 O
Bagram 	 CIT
air 	 O
base 	 O
from 	 O
Ghazni 	 NAT
province 	 NAT
, 	 O
southwest 	 O
of 	 O
the 	 O
capital 	 O
, 	 O
Kabul 	 CIT
, 	 O
when 	 O
it 	 O
went 	 O
down 	 O
near 	 O
Ghazni 	 CIT
city 	 CIT
. 	 O
The 	 O
U.S. 	 O
military 	 O
suggests 	 O
severe 	 O
weather 	 O
was 	 O
to 	 O
blame 	 O
for 	 O
what 	 O
is 	 O
the 	 O
deadliest 	 O
military 	 O
crash 	 O
in 	 O
Afghanistan 	 COU
since 	 O
the 	 O
start 	 O
of 	 O
U.S.- 	 O
led 	 O
operations 	 O
to 	 O
oust 	 O
the 	 O
Taleban 	 ORG
in 	 O
late 	 O
2001 	 O
. 	 O

The 	 O
U.S. 	 O
military 	 O
in 	 O
Iraq 	 COU
says 	 O
a 	 O
roadside 	 O
bomb 	 O
has 	 O
killed 	 O
one 	 O
of 	 O
its 	 O
troops 	 O
south 	 O
of 	 O
the 	 O
capital 	 O
, 	 O
Baghdad 	 CIT
. 	 O
The 	 O
military 	 O
says 	 O
the 	 O
soldier 	 O
was 	 O
killed 	 O
Thursday 	 O
when 	 O
his 	 O
